ClubId,Name,Email,ClubTypeId,Description,Mission,Contact,HeadId,Image
20,Math Club,mathclub@unist.ac.kr,5,A club for students interested in mathematics,To provide a space for students to engage in mathematical discussions competitions and problem-solving activities,Emma Liu,120,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
21,Culinary Club,culinaryclub@unist.ac.kr,2,A club for students interested in cooking and baking,To explore different cooking techniques and cuisines and develop skills in food preparation and presentation,Nicole Rodriguez,121,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
22,Investment Club,investmentclub@unist.ac.kr,3,A club for students interested in finance and investment,To learn about investing and financial planning and develop skills in analyzing and evaluating investment opportunities,Andrew Kim,122,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
23,Music Club,musicclub@unist.ac.kr,3,A club for students interested in music,To explore various forms of music and develop skills in playing instruments and performing,Megan Smith,123,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
24,Entrepreneurship Club,entrepreneurshipclub@unist.ac.kr,3,A club for students interested in entrepreneurship,To explore and develop skills in business planning and innovation,Max Chen,124,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
25,Gaming Club,gamingclub@unist.ac.kr,5,A club for students interested in video games,To provide a space for students to play and discuss video games and explore different genres and platforms,Kyle Brown,125,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
26,Robotics Team,roboticsteam@unist.ac.kr,5,A team of students interested in robotics and engineering,To design and build program robots to compete in local and regional competitions,James Lee,126,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
27,Model Congress Club,modelcongressclub@unist.ac.kr,3,A club for students interested in government and politics,To simulate the workings of Congress and provide opportunities for students to develop debating and public speaking skills,Samantha Davis,127,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
28,Language Club,languageclub@unist.ac.kr,8,A club for students interested in learning languages,To provide opportunities for students to explore and learn different languages and cultures,Maria Hernandez,128,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
29,Physics Club,physicsclub@unist.ac.kr,5,A club for students interested in physics,To provide opportunities for students to explore and learn different concepts and principles in physics through experiments and projects,Timothy Wilson,129,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
30,Chess Team,chessteam@unist.ac.kr,9,A team of students interested in chess,To compete in local and regional tournaments and develop skills in strategic thinking and analysis,Alexander Johnson,130,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
31,Book Club,bookclub@unist.ac.kr,9,A club for students interested in reading and literature,To explore and discuss different genres of literature and develop skills in critical analysis and interpretation,Sophia Lee,131,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
32,Investigative Journalism Club,investigativejournalismclub@unist.ac.kr,4,A club for students interested in journalism and investigation,To investigate and report on current events and issues in the school and local community,Joshua Kim,132,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
33,Architectural Design Club,architecturaldesignclub@unist.ac.kr,2,A club for students interested in architecture and design,To explore and develop skills in architectural design and engineering,Matthew Chen,133,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
34,Public Speaking Club,publicspeakingclub@unist.ac.kr,9,A club for students interested in public speaking and debate,To improve communication skills and develop an understanding of argumentation and persuasion,Ashley Kim,134,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
35,Environmental Science Club,environmentalscienceclub@unist.ac.kr, 6,A club for students interested in environmental science and sustainability,To explore and learn about environmental issues and develop solutions to promote sustainable living,Hannah Brown,135,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
36,Engineering Club,engineeringclub@unist.ac.kr,5,A club for students interested in engineering and innovation,To design and build projects using principles of engineering and technology and participate in local and regional competitions,Brandon Lee,146,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
37,Mock Trial Club,mocktrialclub@unist.ac.kr,3,A club for students interested in law and litigation,To participate in simulated courtroom trials and develop skills in legal analysis and argumentation,William Lee,137,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
38,Debate Team,debateteam@unist.ac.kr,9,A team of students interested in debate and public speaking,To compete in local and regional tournaments and develop skills in research and persuasion,Avery Johnson,138,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
39,Photography Club,photographyclub@unist.ac.kr,2,A club for students interested in photography,To explore and develop skills in various forms of photography including digital and film and learn about the history and art of photography,Benjamin Lee,139,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
40,Model United Nations Club,modelunclub@unist.ac.kr,3,A club for students interested in international relations and diplomacy,To simulate the workings of the United Nations and provide opportunities for students to develop research and public speaking skills,Emily Kim,140,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
41,Computer Science Club,computerscienceclub@unist.ac.kr,5,A club for students interested in computer science and programming,To explore and develop skills in various programming languages and technologies and participate in programming competitions and hackathons,David Kim,141,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
42,Film Club,filmclub@unist.ac.kr,2,A club for students interested in film and cinema,To explore and learn about different genres and techniques in filmmaking and develop skills in film production and editing,Natalie Rodriguez,142,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
43,Model Aviation Club,modelaviationclub@unist.ac.kr,5,A club for students interested in aviation and flight,To design and build model air crafts and participate in local and regional competitions,Matthew Johnson,143,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-login-form/img1.webp
44,Dance Club,danceclub@unist.ac.kr,7,A club for students interested in dance and performance,To explore and develop skills in various forms of dance including ballet and contemporary dance and participate in dance performances and competitions,Isabelle Martinez,144,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
45,Political Science Club,politicalscienceclub@unist.ac.kr,3,A club for students interested in politics and government,To explore and learn about different systems of government and political ideologies and develop skills in research and debate,Michael Kim,145,https://marketplace.canva.com/EAFVWgYn09E/1/0/1600w/canva-blue-white-retro-football-club-badge-logo-JzTG5g4vvns.jpg
